column,non_null_count,non_null_share,dtype
country_display,3624,1.0,object
income_group,3624,1.0,object
iso3,3624,1.0,object
natural_capital_pc,3624,1.0,float64
net_foreign_assets_pc,3624,1.0,float64
population_total,3624,1.0,int64
region,3624,1.0,object
year,3624,1.0,int64
gdp_per_capita_current_usd,3622,0.9994481236203091,float64
human_capital_pc,3583,0.9886865342163356,float64
produced_capital_pc,3583,0.9886865342163356,float64
human_capital_share,3549,0.9793046357615894,float64
log_wealth_pc,3549,0.9793046357615894,float64
natural_capital_share,3549,0.9793046357615894,float64
produced_capital_share,3549,0.9793046357615894,float64
wealth_pc,3549,0.9793046357615894,float64
education_expenditure_pct_gdp,2424,0.6688741721854304,float64
tertiary_enrolment_rate,2365,0.6525938189845475,float64
school_life_expectancy,1976,0.5452538631346578,float64
lower_secondary_completion_rate,1860,0.5132450331125827,float64
gini_index,1604,0.44260485651214126,float64
