year,school_life_expectancy,tertiary_enrolment_rate,lower_secondary_completion_rate,education_expenditure_pct_gdp,gini_index
1995,0.543046357615894,0.6821192052980133,0.31788079470198677,0.4768211920529801,0.2980132450331126
1996,0.5033112582781457,0.6490066225165563,0.2847682119205298,0.4768211920529801,0.2781456953642384
1997,0.3576158940397351,0.5099337748344371,0.2582781456953642,0.2251655629139073,0.23841059602649006
1998,0.40397350993377484,0.5165562913907285,0.1390728476821192,0.48344370860927155,0.33112582781456956
1999,0.6026490066225165,0.7284768211920529,0.3973509933774834,0.6158940397350994,0.2847682119205298
2000,0.5562913907284768,0.6622516556291391,0.46357615894039733,0.6556291390728477,0.36423841059602646
2001,0.5960264900662252,0.6754966887417219,0.4900662251655629,0.6158940397350994,0.2980132450331126
2002,0.6026490066225165,0.7218543046357616,0.5562913907284768,0.6556291390728477,0.4304635761589404
2003,0.0,0.0,0.0,0.6026490066225165,0.4304635761589404
2004,0.6225165562913907,0.7152317880794702,0.5496688741721855,0.6754966887417219,0.48344370860927155
2005,0.6556291390728477,0.7152317880794702,0.5827814569536424,0.6291390728476821,0.4966887417218543
2006,0.6158940397350994,0.7086092715231788,0.5496688741721855,0.6026490066225165,0.4966887417218543
2007,0.6026490066225165,0.6821192052980133,0.5761589403973509,0.6026490066225165,0.44370860927152317
2008,0.609271523178808,0.7152317880794702,0.6291390728476821,0.6622516556291391,0.5033112582781457
2009,0.5960264900662252,0.695364238410596,0.6556291390728477,0.6423841059602649,0.5099337748344371
2010,0.5894039735099338,0.7218543046357616,0.6357615894039735,0.7549668874172185,0.5364238410596026
2011,0.6158940397350994,0.7350993377483444,0.6556291390728477,0.7682119205298014,0.5165562913907285
2012,0.5894039735099338,0.7350993377483444,0.6556291390728477,0.7880794701986755,0.5496688741721855
2013,0.5629139072847682,0.6887417218543046,0.6688741721854304,0.8145695364238411,0.47019867549668876
2014,0.5827814569536424,0.7019867549668874,0.6754966887417219,0.8278145695364238,0.5298013245033113
2015,0.5960264900662252,0.7086092715231788,0.609271523178808,0.8543046357615894,0.5364238410596026
2016,0.5761589403973509,0.6887417218543046,0.6423841059602649,0.8410596026490066,0.5165562913907285
2017,0.609271523178808,0.695364238410596,0.695364238410596,0.9006622516556292,0.4900662251655629
2018,0.4966887417218543,0.609271523178808,0.6291390728476821,0.8807947019867549,0.5894039735099338
